Compiled Terms [EAP database terms are in square brackets],Occurrence ID,Other References to this Occurrence,Taxon [in EA database this is taxon + Species],Common Name,[Kingdom],[Phylum],[Class],[Order],[Family],[Genus],Specific Epithet [species],Infraspecific Epithet [subspecies],Taxon Rank,"EA Cat number [in EA database, this is catalog+catalog extension]",[Collector Number],[UF#],[# Specimens],Organism ID,[Sex],"[Age] Value in Years [in EA database, all age info goes in one category = Age]",[Age] Life Stage,[Age] Age Remarks,Identified By,Year/Month/Day Identified,Identification Remarks,Collection Type,[Country],Country Code,State [also in EA database as Country/State],[County],Municipality [City],Locality [in EAP database as City/Modifier],Verbatim Locality,Land owner,Latitude,Longitude,Verbatim Coordinates [Latitude/Longitude],Geodetic Datum,Coordinate Uncertainty in Meters,Coordinate Precision,Minimum Elevation in Meters,Maximum Elevation in Meters,[Elevation],Elevation Accuracy,Minimum Depth in Meters,Maximum Depth in Meters,Verbatim Depth,Depth of Bottom in Meters,Minimum Distance Above Surface in Meters,Maximum Distance Above Surface in Meters,Georeference Protocol,Georeference Verified?,Location Remarks,"Collection Date [EAP database has only one date category, randomly used for whatever]",Accession Date,Standardized Collection Date,Material Sample ID,[Collector],Event Entered By,Habitat/Subhabitat/Substratum,Establishment Means,Sampling Protocol,Permit Information,[Specimen Location],[Data location],[on_loan],[time_stamp],Associated Taxa,Images,Reproductive Condition,Event Remarks,Occurrence Remarks,Additional Notes Available?,Body Portion,Side,Total Fresh Weight (g),Height (mm) [define?],Girth (mm) [girth at chest/heart],Skin weight (g),Weight of viscera (g),Total bone weight (g),TL (mm) [Total Length],TA (mm) [Tail Length],HF (mm) [Hind Foot Length],En (mm) [Ear Notch = Ear Length],"Astragalus Glm (greatest length of the medial side von den Driesch 1976), mm","Astragalus GLl, (greatest length of the lateral side, von den Driesch 1976), mm","Astragalus Dm (greatest depth of the medial side, von den Driesch 1976), mm","Astragalus Bd (greatest breadth of the distal end, von den Driesch 1976), mm","Astragalus Dl, (depth of the lateral side, von den Driesch 1976), mm","Astragalus AST3, intermediate length or minimum distance of the double trochlea in the proximal-distal direction (Wolverton 2007), mm","Calcaneus GL, (greatest length, von den Driesch, 1976), mm","Calcaneus GB, (greatest breadth, von den Driesch 1976), mm","Calcaneus CALD, (lateral depth, Purdue 1987), mm","Calcaneus Bc, mm","Calcaneus Dc, mm","Tibia GL, (greatest length, von den Driesch 1976), mm","Tibia Ll, (length of the lateral side, von den Driesch 1976 *note she says only in horses), mm","Tibia SD, (smallest breadth of the diaphysis, von den Driesch 1976), mm","Tibia Bp, (greatest breadth of the proximal end, von den Driesch 1976), mm","Tibia Bd, (greatest breadth of the distal end, von den Driesch 1976), mm","Tibia Dd, (greatest depth of the distal end, von den Driesch 1976), mm",Measurement Remarks,Measurements by,Measurement Date,Measurement Method,Measurement Accuracy
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z2328,,,1,,,1.6,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Levy,Otter Creek,Gad's Bay,Gad's Bay,,27.31666667,-82.78333333,"29°17′N 82°47′W from wikipedia https://en.wikipedia.org/wiki/Levy_County,_Florida",,,,,,,,,,,,,,,not georeferenced,,"Collection Date, December 1977",,12/1/1977,,J. Balciunas,,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,,,,lab notes available,Carcass,n/a,42000,,,1021,11000,1087.3,,,,,,,,,,,,,,,,,,,,,,skin weight in tanned,collector/EAP staff,"Carcass measurements presumably done on collection date, body portion weights at cataloging date.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin, viscera, bone [including marrow], and meat/fat/etc.]. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members.",Unknown for fresh carcass field weights and measures.
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z2328,,,1,,,1.6,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Levy,Otter Creek,Gad's Bay,Gad's Bay,,27.31666667,-82.78333333,"29°17′N 82°47′W from wikipedia https://en.wikipedia.org/wiki/Levy_County,_Florida",,,,,,,,,,,,,,,not georeferenced,,"Collection Date, December 1977",,12/1/1977,,J. Balciunas,,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,,,,lab notes available,Tail,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,collector/EAP staff,"Carcass measurements presumably done on collection date, body portion weights at cataloging date.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin, viscera, bone [including marrow], and meat/fat/etc.]. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members.",Unknown for fresh carcass field weights and measures.
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z2328,,,1,,,1.6,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Levy,Otter Creek,Gad's Bay,Gad's Bay,,27.31666667,-82.78333333,"29°17′N 82°47′W from wikipedia https://en.wikipedia.org/wiki/Levy_County,_Florida",,,,,,,,,,,,,,,not georeferenced,,"Collection Date, December 1977",,12/1/1977,,J. Balciunas,,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,,,,lab notes available,HindFoot,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,collector/EAP staff,"Carcass measurements presumably done on collection date, body portion weights at cataloging date.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin, viscera, bone [including marrow], and meat/fat/etc.]. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members.",Unknown for fresh carcass field weights and measures.
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z2328,,,1,,,1.6,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Levy,Otter Creek,Gad's Bay,Gad's Bay,,27.31666667,-82.78333333,"29°17′N 82°47′W from wikipedia https://en.wikipedia.org/wiki/Levy_County,_Florida",,,,,,,,,,,,,,,not georeferenced,,"Collection Date, December 1977",,12/1/1977,,J. Balciunas,,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,,,,lab notes available,Ear,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,collector/EAP staff,"Carcass measurements presumably done on collection date, body portion weights at cataloging date.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin, viscera, bone [including marrow], and meat/fat/etc.]. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members.",Unknown for fresh carcass field weights and measures.
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z2328,,,1,,,1.6,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Levy,Otter Creek,Gad's Bay,Gad's Bay,,27.31666667,-82.78333333,"29°17′N 82°47′W from wikipedia https://en.wikipedia.org/wiki/Levy_County,_Florida",,,,,,,,,,,,,,,not georeferenced,,"Collection Date, December 1977",,12/1/1977,,J. Balciunas,,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,,,,lab notes available,Astragalus,L,,,,,,,,,,,35.4,37.4,21.35,23.54,20.68,29.61,,,,,,,,,,,,,Samantha McCrane,19-Oct,"Tibia GL and LI taken with generic (Marathon-style) calipers, all others with Mitutoyo calipers. Left elements measured unless missing, side measured is noted.","For skeletal metrics, Mitutoyo 8in and 6in company reported caliper accuracy (excluding quantizing error): ±0.02mm (≤200mm), ±0.03mm (≤300mm), ±0.05mm (≤600mm), ±0.07mm (≤1000mm); measuring range: 0-1000mm, Resolution: 0.01mm or .0005""/0.01mm, Repeatability: 0.01mm. Generic brand [Marathon] 12 in company reported caliper accuracy: 0.02 mm/0.001 inch accuracy up to 100 mm, 0.03 mm/0.001 inch accuracy from 100 to 300 mm, measuring range: 0-300mm, 0.01 mm resolution."
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z2328,,,1,,,1.6,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Levy,Otter Creek,Gad's Bay,Gad's Bay,,27.31666667,-82.78333333,"29°17′N 82°47′W from wikipedia https://en.wikipedia.org/wiki/Levy_County,_Florida",,,,,,,,,,,,,,,not georeferenced,,"Collection Date, December 1977",,12/1/1977,,J. Balciunas,,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,,,,lab notes available,Calcaneus,L,,,,,,,,,,,,,,,,,,26.17,29.68,,,,,,,,,,Samantha McCrane,19-Oct,"Tibia GL and LI taken with generic (Marathon-style) calipers, all others with Mitutoyo calipers. Left elements measured unless missing, side measured is noted.","For skeletal metrics, Mitutoyo 8in and 6in company reported caliper accuracy (excluding quantizing error): ±0.02mm (≤200mm), ±0.03mm (≤300mm), ±0.05mm (≤600mm), ±0.07mm (≤1000mm); measuring range: 0-1000mm, Resolution: 0.01mm or .0005""/0.01mm, Repeatability: 0.01mm. Generic brand [Marathon] 12 in company reported caliper accuracy: 0.02 mm/0.001 inch accuracy up to 100 mm, 0.03 mm/0.001 inch accuracy from 100 to 300 mm, measuring range: 0-300mm, 0.01 mm resolution."
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z2328,,,1,,,1.6,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Levy,Otter Creek,Gad's Bay,Gad's Bay,,27.31666667,-82.78333333,"29°17′N 82°47′W from wikipedia https://en.wikipedia.org/wiki/Levy_County,_Florida",,,,,,,,,,,,,,,not georeferenced,,"Collection Date, December 1977",,12/1/1977,,J. Balciunas,,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,,,,lab notes available,Tibia,L,,,,,,,,,,,,,,,,,,,,,,,,19.57,,31.99,24.6,proximal tibia unfused,Samantha McCrane,19-Oct,"Tibia GL and LI taken with generic (Marathon-style) calipers, all others with Mitutoyo calipers. Left elements measured unless missing, side measured is noted.","For skeletal metrics, Mitutoyo 8in and 6in company reported caliper accuracy (excluding quantizing error): ±0.02mm (≤200mm), ±0.03mm (≤300mm), ±0.05mm (≤600mm), ±0.07mm (≤1000mm); measuring range: 0-1000mm, Resolution: 0.01mm or .0005""/0.01mm, Repeatability: 0.01mm. Generic brand [Marathon] 12 in company reported caliper accuracy: 0.02 mm/0.001 inch accuracy up to 100 mm, 0.03 mm/0.001 inch accuracy from 100 to 300 mm, measuring range: 0-300mm, 0.01 mm resolution."
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z2773,,,1,,F,1.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Clay,,Camp Blanding,Camp Blanding game area,US military,29.9519,-81.9799,29.9519°N 81.9799°W from wikipedia https://en.wikipedia.org/wiki/Camp_Blanding,,,,,,,,,,,,,,,not georeferenced,,"Collection Date, November 10, 1979",,11/10/1979,,S. Hale,,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,,,,lab notes available,Carcass,n/a,39500,,,3550,9752,2374.6,,,,,,,,,,,,,,,,,,,,,,,collector/EAP staff,"Carcass measurements presumably done on collection date, body portion weights at cataloging date.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin, viscera, bone [including marrow], and meat/fat/etc.]. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members.",Unknown for fresh carcass field weights and measures.
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z2773,,,1,,F,1.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Clay,,Camp Blanding,Camp Blanding game area,US military,29.9519,-81.9799,29.9519°N 81.9799°W from wikipedia https://en.wikipedia.org/wiki/Camp_Blanding,,,,,,,,,,,,,,,not georeferenced,,"Collection Date, November 10, 1979",,11/10/1979,,S. Hale,,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,,,,lab notes available,Tail,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,collector/EAP staff,"Carcass measurements presumably done on collection date, body portion weights at cataloging date.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin, viscera, bone [including marrow], and meat/fat/etc.]. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members.",Unknown for fresh carcass field weights and measures.
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z2773,,,1,,F,1.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Clay,,Camp Blanding,Camp Blanding game area,US military,29.9519,-81.9799,29.9519°N 81.9799°W from wikipedia https://en.wikipedia.org/wiki/Camp_Blanding,,,,,,,,,,,,,,,not georeferenced,,"Collection Date, November 10, 1979",,11/10/1979,,S. Hale,,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,,,,lab notes available,HindFoot,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,collector/EAP staff,"Carcass measurements presumably done on collection date, body portion weights at cataloging date.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin, viscera, bone [including marrow], and meat/fat/etc.]. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members.",Unknown for fresh carcass field weights and measures.
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z2773,,,1,,F,1.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Clay,,Camp Blanding,Camp Blanding game area,US military,29.9519,-81.9799,29.9519°N 81.9799°W from wikipedia https://en.wikipedia.org/wiki/Camp_Blanding,,,,,,,,,,,,,,,not georeferenced,,"Collection Date, November 10, 1979",,11/10/1979,,S. Hale,,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,,,,lab notes available,Ear,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,collector/EAP staff,"Carcass measurements presumably done on collection date, body portion weights at cataloging date.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin, viscera, bone [including marrow], and meat/fat/etc.]. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members.",Unknown for fresh carcass field weights and measures.
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z2773,,,1,,F,1.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Clay,,Camp Blanding,Camp Blanding game area,US military,29.9519,-81.9799,29.9519°N 81.9799°W from wikipedia https://en.wikipedia.org/wiki/Camp_Blanding,,,,,,,,,,,,,,,not georeferenced,,"Collection Date, November 10, 1979",,11/10/1979,,S. Hale,,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,,,,lab notes available,Astragalus,L,,,,,,,,,,,35.08,37.7,21.34,22.03,20.63,30.91,,,,,,,,,,,,,Samantha McCrane,19-Oct,"Tibia GL and LI taken with generic (Marathon-style) calipers, all others with Mitutoyo calipers. Left elements measured unless missing, side measured is noted.","For skeletal metrics, Mitutoyo 8in and 6in company reported caliper accuracy (excluding quantizing error): ±0.02mm (≤200mm), ±0.03mm (≤300mm), ±0.05mm (≤600mm), ±0.07mm (≤1000mm); measuring range: 0-1000mm, Resolution: 0.01mm or .0005""/0.01mm, Repeatability: 0.01mm. Generic brand [Marathon] 12 in company reported caliper accuracy: 0.02 mm/0.001 inch accuracy up to 100 mm, 0.03 mm/0.001 inch accuracy from 100 to 300 mm, measuring range: 0-300mm, 0.01 mm resolution."
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z2773,,,1,,F,1.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Clay,,Camp Blanding,Camp Blanding game area,US military,29.9519,-81.9799,29.9519°N 81.9799°W from wikipedia https://en.wikipedia.org/wiki/Camp_Blanding,,,,,,,,,,,,,,,not georeferenced,,"Collection Date, November 10, 1979",,11/10/1979,,S. Hale,,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,,,,lab notes available,Calcaneus,L,,,,,,,,,,,,,,,,,79.93,25.59,30.37,,,,,,,,,,Samantha McCrane,19-Oct,"Tibia GL and LI taken with generic (Marathon-style) calipers, all others with Mitutoyo calipers. Left elements measured unless missing, side measured is noted.","For skeletal metrics, Mitutoyo 8in and 6in company reported caliper accuracy (excluding quantizing error): ±0.02mm (≤200mm), ±0.03mm (≤300mm), ±0.05mm (≤600mm), ±0.07mm (≤1000mm); measuring range: 0-1000mm, Resolution: 0.01mm or .0005""/0.01mm, Repeatability: 0.01mm. Generic brand [Marathon] 12 in company reported caliper accuracy: 0.02 mm/0.001 inch accuracy up to 100 mm, 0.03 mm/0.001 inch accuracy from 100 to 300 mm, measuring range: 0-300mm, 0.01 mm resolution."
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z2773,,,1,,F,1.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Clay,,Camp Blanding,Camp Blanding game area,US military,29.9519,-81.9799,29.9519°N 81.9799°W from wikipedia https://en.wikipedia.org/wiki/Camp_Blanding,,,,,,,,,,,,,,,not georeferenced,,"Collection Date, November 10, 1979",,11/10/1979,,S. Hale,,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,,,,lab notes available,Tibia,L,,,,,,,,,,,,,,,,,,,,,,,,17.72,,31.57,23.56,proximal tibia unfused,Samantha McCrane,19-Oct,"Tibia GL and LI taken with generic (Marathon-style) calipers, all others with Mitutoyo calipers. Left elements measured unless missing, side measured is noted.","For skeletal metrics, Mitutoyo 8in and 6in company reported caliper accuracy (excluding quantizing error): ±0.02mm (≤200mm), ±0.03mm (≤300mm), ±0.05mm (≤600mm), ±0.07mm (≤1000mm); measuring range: 0-1000mm, Resolution: 0.01mm or .0005""/0.01mm, Repeatability: 0.01mm. Generic brand [Marathon] 12 in company reported caliper accuracy: 0.02 mm/0.001 inch accuracy up to 100 mm, 0.03 mm/0.001 inch accuracy from 100 to 300 mm, measuring range: 0-300mm, 0.01 mm resolution."
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z2850,,,1,,F,3.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Clay,,Camp Blanding,Camp Blanding game area,US military,29.9519,-81.9799,29.9519°N 81.9799°W from wikipedia https://en.wikipedia.org/wiki/Camp_Blanding,,,,,,,,,,,,,,,not georeferenced,,"Collection Date, December 31, 1979",,12/31/1979,,S. Hale and J. Schatz,,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,several weeks pregnant,,,lab notes available,Carcass,n/a,45000,889,450.85,2455,1690,3120,1625.6,,,,,,,,,,,,,,,,,,,,,"(1) Viscera weight is added weight of lung, heart and liver. (2) Useable weight recorded as ""not accurate""",collector/EAP staff,"Carcass measurements presumably done on collection date, body portion weights at cataloging date.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin, viscera, bone [including marrow], and meat/fat/etc.]. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members.",Unknown for fresh carcass field weights and measures.
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z2850,,,1,,F,3.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Clay,,Camp Blanding,Camp Blanding game area,US military,29.9519,-81.9799,29.9519°N 81.9799°W from wikipedia https://en.wikipedia.org/wiki/Camp_Blanding,,,,,,,,,,,,,,,not georeferenced,,"Collection Date, December 31, 1979",,12/31/1979,,S. Hale and J. Schatz,,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,several weeks pregnant,,,lab notes available,Tail,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,collector/EAP staff,"Carcass measurements presumably done on collection date, body portion weights at cataloging date.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin, viscera, bone [including marrow], and meat/fat/etc.]. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members.",Unknown for fresh carcass field weights and measures.
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z2850,,,1,,F,3.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Clay,,Camp Blanding,Camp Blanding game area,US military,29.9519,-81.9799,29.9519°N 81.9799°W from wikipedia https://en.wikipedia.org/wiki/Camp_Blanding,,,,,,,,,,,,,,,not georeferenced,,"Collection Date, December 31, 1979",,12/31/1979,,S. Hale and J. Schatz,,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,several weeks pregnant,,,lab notes available,HindFoot,unknown,,,,,,,,,450.85,,,,,,,,,,,,,,,,,,,,collector/EAP staff,"Carcass measurements presumably done on collection date, body portion weights at cataloging date.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin, viscera, bone [including marrow], and meat/fat/etc.]. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members.",Unknown for fresh carcass field weights and measures.
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z2850,,,1,,F,3.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Clay,,Camp Blanding,Camp Blanding game area,US military,29.9519,-81.9799,29.9519°N 81.9799°W from wikipedia https://en.wikipedia.org/wiki/Camp_Blanding,,,,,,,,,,,,,,,not georeferenced,,"Collection Date, December 31, 1979",,12/31/1979,,S. Hale and J. Schatz,,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,several weeks pregnant,,,lab notes available,Ear,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,collector/EAP staff,"Carcass measurements presumably done on collection date, body portion weights at cataloging date.","Live and carcass weights and measures methods unknown. Total Fresh weight includes skin, viscera, bone [including marrow], and meat/fat/etc.]. Weights and lengths originally recorded in kilograms and inches, converted to grams or millimeters by Cannarozzi and Emery. Total fresh weight and standard measurements presumably done by collector. Body portion weights presumably done by EAP lab members.",Unknown for fresh carcass field weights and measures.
,,,Odocoileus virginianus,white tailed deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,,species,Z2850,,,1,,F,3.5,,"age estimated in the field by collector, additional age estimates using dental eruption and fusion are available in the EAP archives",,,,skeleton,USA,USA,Florida,Clay,,Camp Blanding,Camp Blanding game area,US military,29.9519,-81.9799,29.9519°N 81.9799°W from wikipedia https://en.wikipedia.org/wiki/Camp_Blanding,,,,,,,,,,,,,,,not georeferenced,,"Collection Date, December 31, 1979",,12/31/1979,,S. Hale and J. Schatz,,,,"For all specimens in dataset: Specimens with skin weight only have been omitted, juveniles have been omitted. Identifications verified by field personnel.",,FLMNH Environmental Archaeology Collections,,no,,,,several weeks pregnant,,,lab notes available,Astragalus,L,,,,,,,,,,,36.64,37.97,20.93,22.04,20.05,31.32,,,,,,,,,,,,,Jessica King,19-Oct,"Tibia GL and LI taken with generic (Marathon-style) calipers, all others with Mitutoyo calipers. Left elements measured unless missing, side measured is noted.","For skeletal metrics, Mitutoyo 8in and 6in company reported caliper accuracy (excluding quantizing error): ±0.02mm (≤200mm), ±0.03mm (≤300mm), ±0.05mm (≤600mm), ±0.07mm (≤1000mm); measuring range: 0-1000mm, Resolution: 0.01mm or .0005""/0.01mm, Repeatability: 0.01mm. Generic brand [Marathon] 12 in company reported caliper accuracy: 0.02 mm/0.001 inch accuracy up to 100 mm, 0.03 mm/0.001 inch accuracy from 100 to 300 mm, measuring range: 0-300mm, 0.01 mm resolution."
